 2016-11-07 00:03:18,233 [P2428/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on BRITTA-PC
 2016-11-07 00:03:18,260 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-07 00:03:18,284 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 24ms)
 2016-11-07 00:03:18,407 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-07 00:03:18,823 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 416ms)
 2016-11-07 00:03:18,840 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-07 00:03:18,858 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 18ms)
 2016-11-07 00:03:18,866 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-07 00:03:18,884 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 17ms)
 2016-11-07 00:03:18,900 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-07 00:03:18,916 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 15ms)
 2016-11-07 00:03:18,916 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-07 00:03:18,933 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 16ms)
 2016-11-07 00:03:18,985 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-07 00:03:18,997 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 12ms)
 2016-11-07 00:03:18,998 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-07 00:03:19,007 [P2428/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 9ms)
 2016-11-07 00:03:20,324 [P2428/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-07 00:03:20,698 [P2428/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-07 00:03:20,745 [P2428/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-07 00:03:20,838 [P2428/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-07 00:03:20,961 [P2428/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-07 00:03:20,961 [P2428/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-07 00:03:20,980 [P2428/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2850ms)
 2016-11-07 00:03:21,160 [P2428/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:52315/umbraco (UmbracoModule request)
 2016-11-07 00:03:21,474 [P2428/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-11-07 00:03:21,477 [P2428/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-11-07 00:03:22,274 [P2428/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-07 00:03:22,304 [P2428/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 30ms)
